# Copyright (c) 2011 Walter Bender y Pacita Pena,,,,,,
# This work is licensed under a Creative Commons,,,,,,
# Attribution-NonCommercial 3.0 Unported License.,,,,,,
# These words represent Nivel 1 in Spanish,,,,,,
# Use () for highlighted letter in phrase.,,,,,,
# letter, phrase, RGB color, color name, vowel or consonant, sound file,
a, (a)vion, #FFFFFF, avion.png, avion.ogg, letra_a.ogg
b, (b)urro, #2080A0, burro.png, burro.ogg, letra_b.ogg
c, (c)onejo, #FFC040, conejo.png, conejo.ogg, letra_c.ogg
ch, (ch)ocoyo, #FFC040, loro.png, chocoyo.ogg, letra_ch.ogg
d, (d)a(d)o, #20C060, dado.png, dado.ogg, letra_d.ogg
e, (e)l(e)fant(e), #70A9CE, elefante.png, elefante.ogg, letra_e.ogg
f, (f)oca, #C160D2, foca.png, foca.ogg, letra_f.ogg
g, (g)ato, #A0A0A0, gato.png, gato.ogg, letra_g.ogg
h, (h)uevo, #FFFFFF, huevo.png, huevo.ogg, letra_h.ogg
i, (i)gles(i)a, #DE1C23, iglesia.png, iglesia.ogg, letra_i.ogg
j, (j)irafa, #C93C7E, jirafa.png, jirafa.ogg, letra_j.ogg
k, (k)arate, #FFC040, karate.png, karate.ogg, letra_k.ogg
ll, (ll)ave, #BA6C71, llave.png, llave.ogg, letra_ll.ogg
l, (l)eon, #00A0FF, leon.png, leon.ogg, letra_l.ogg
m, (m)esa, #C72020, mesa.png, mesa.ogg, letra_m.ogg
n, (n)ube, #7A6BBD, nube.png, nube.ogg, letra_n.ogg
Ññ, (ñ)andú, #80C040/#C93C7E, nandu.png, nandu.ogg, letra_ny.ogg
o, (o)s(o), #A4221E, oso.png, oso.ogg, letra_o.ogg
p, (p)ato, #A4221E, pato.png, pato.ogg, letra_p.ogg
q, (q)ueso, #FFC040, queso.png, queso.ogg, letra_q.ogg
r, (r)atón, #F08020, raton.png, raton.ogg, letra_r.ogg
s, (s)ol, #7EC93C, sol.png, sol.ogg, letra_s.ogg
t, (t)aza, #EE3C8E, taza.png, taza.ogg, letra_t.ogg
u, (u)ña, #00A000, unya.png, unya.ogg, letra_u.ogg
v, (v)aca, #2080A0, vaca.png, vaca.ogg, letra_v.ogg
w, (w)afles, #808080, wafles.png, wafles.ogg, letra_w.ogg
x, (x)ilófono, #7EC93C, xilofono.png, xilofono.ogg, letra_x.ogg
y, (y)oyo, #BA6C71, yoyo.png, yoyo.ogg, letra_y.ogg
z, (z)apato, #7EC93C, zapato.png, zapato.ogg, letra_z.ogg

